name,code,club_code,old_bps,new_bps,bps_change,old_bonus,new_bonus,bonus_change,old_points,new_points
Acheampong,577016,8,4,4,0,0,0,0,1,1
Mee,461537,1,0,0,0,0,0,0,0,0
Arthur,622536,94,0,0,0,0,0,0,0,0
Martins,647597,102,0,0,0,0,0,0,0,0
Nallo,611926,14,0,0,0,0,0,0,0,0
Chiwome,589507,39,12,12,0,0,0,0,5,5
Chouchane,513840,36,0,0,0,0,0,0,0,0
Mathurin,493121,31,0,0,0,0,0,0,0,0
Warrington,461453,11,3,3,0,0,0,0,1,1
Holman,602934,39,0,0,0,0,0,0,0,0
Offiah,445548,36,21,11,-10,0,0,0,4,4
Chigozie,634640,102,0,0,0,0,0,0,0,0
Sharman-Lowe,499857,8,0,0,0,0,0,0,0,0
Amass,577974,1,0,0,0,0,0,0,0,0
George,550615,8,0,0,0,0,0,0,0,0
Dyer,559963,8,0,0,0,0,0,0,0,0
Dacosta Gonzalez,596572,91,0,0,0,0,0,0,0,0
Wheatley,575034,1,6,6,0,0,0,0,3,3
Harris,551995,102,0,0,0,0,0,0,0,0
Hampson,591538,49,0,0,0,0,0,0,0,0
Jackson,530117,1,0,0,0,0,0,0,0,0
McKenna,568791,91,0,0,0,0,0,0,0,0
Munroe,521966,7,3,3,0,0,0,0,1,1
Ojinnaka,514362,39,0,0,0,0,0,0,0,0
Curd,518892,8,0,0,0,0,0,0,0,0
Sturge,496222,8,0,0,0,0,0,0,0,0
Moore,499721,6,4,4,0,0,0,0,2,2
Atom,549014,36,0,0,0,0,0,0,0,0
Hall,563934,6,0,0,0,0,0,0,0,0
Konak,628204,94,0,0,0,0,0,0,0,0
Crellin,438405,11,0,0,0,0,0,0,0,0
Emery,646754,7,0,0,0,0,0,0,0,0
Young,537403,7,0,0,0,0,0,0,0,0
